t,frame,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z
4.452296,264,-7.413,-124.128,-49.353,-0.049247,-0.036718,-0.034113
4.469096,265,-1.842,-138.351,-49.396,0.076799,-0.014925,0.289755
4.485896,266,-3.206,-135.848,-51.948,0.048542,-0.016633,0.290508
4.502697,267,4.261,-123.401,-49.052,0.188257,-0.003474,0.062648
4.519497,268,-2.526,-111.081,-57.319,0.023455,-0.022763,-0.128983
4.536298,269,-3.591,-104.276,-65.732,-0.016036,0.000762,-0.204816
4.553098,270,-0.223,-127.082,-50.882,0.086489,-0.01763,0.266424
4.569899,271,-3.593,-102.325,-63.384,-0.026499,-0.023848,-0.176432
4.586699,272,-3.822,-99.342,-61.632,-0.031979,-0.019995,-0.205654
4.603499,273,3.232,-110.478,-45.313,0.143281,-0.000545,0.026188
4.6203,274,-3.583,-96.967,-57.772,-0.025505,-0.017318,-0.193384
4.6371,275,5.228,-107.214,-44.929,0.183089,0.002326,0.02616
4.653901,276,-2.229,-102.837,-51.906,0.014161,-0.016451,-0.010124
4.670701,277,7.642,-102.449,-49.64,0.228765,0.003856,0.000561
4.687501,278,-0.523,-116.772,-59.664,0.062505,-0.005886,0.353378
4.704302,279,-8.573,-96.343,-53.307,-0.123674,-0.030419,-0.037707
4.721102,280,-5.326,-90.633,-53.748,-0.063577,-0.031519,-0.128358
4.737902,281,0.933,-107.936,-48.672,0.085797,-0.014099,0.238982
4.754703,282,-8.203,-83.574,-66.904,-0.138162,-0.039882,-0.19666
4.771503,283,-1.896,-80.423,-64.688,-0.018642,-0.020165,-0.237638
4.788303,284,-2.437,-97.166,-42.886,0.010544,-0.002673,0.10432
4.805104,285,-5.964,-96.148,-41.546,-0.061832,0.001154,0.109889
4.821904,286,9.041,-93.287,-40.638,0.233906,-0.007249,0.056694
4.838705,287,7.231,-96.479,-44.534,0.194851,-0.025886,0.14988
4.855505,288,-4.603,-93.749,-44.853,-0.054626,-0.004921,0.145071
4.872305,289,0.623,-74.812,-58.683,0.012916,-0.017614,-0.211666
4.889106,290,-2.398,-93.753,-37.858,-0.009995,0.004509,0.174438
4.905906,291,7.275,-88.306,-34.024,0.179763,-0.013111,0.069872
4.922707,292,-2.206,-75.386,-42.826,-0.042337,-0.023094,-0.153274
4.939507,293,2.87,-91.255,-41.13,0.076992,-0.005238,0.19142
4.956308,294,-3.814,-84.28,-38.591,-0.064787,0.001902,0.07424
4.973108,295,-3.496,-83.489,-40.701,-0.058504,0.001221,0.081829
4.989908,296,-5.368,-82.329,-39.705,-0.110821,0.008827,0.083393
5.006709,297,3.67,-90.49,-41.479,0.074268,-0.011457,0.251148
5.023509,298,1.612,-62.313,-60.05,-0.018137,-0.009738,-0.293271
5.040309,299,-2.287,-79.221,-38.865,-0.057522,0.002337,0.063322
5.05711,300,-8.397,-75.122,-41.922,-0.195248,-0.003856,0.012566
5.07391,301,-8.51,-74.649,-43.825,-0.198262,-0.002386,0.026344
5.090711,302,-1.508,-76.354,-34.771,-0.057113,-0.013863,0.063533
5.107511,303,3.613,-84.153,-39.381,0.048136,-0.00625,0.237898
5.124311,304,4.335,-64.908,-34.422,0.043895,0.00825,-0.1363
5.141112,305,6.022,-65.656,-32.659,0.077691,0.014612,-0.101378
5.157912,306,0.862,-75.721,-33.291,-0.015341,0.009064,0.130291
5.174712,307,1.344,-55.446,-55.687,-0.046308,-0.002338,-0.246732
5.191513,308,-2.052,-66.116,-29.176,-0.088379,0.00355,-0.01648
5.208313,309,2.061,-51.537,-51.511,-0.043199,-0.004348,-0.282642
5.225113,310,-1.544,-53.816,-48.016,-0.106505,-0.017307,-0.209244
5.241914,311,2.379,-47.504,-54.288,-0.042167,0.003322,-0.313723
5.258714,312,8.287,-64.261,-29.894,0.117987,0.016884,0.041467
5.275515,313,9.803,-63.2,-31.286,0.14808,0.017881,0.042161
5.292315,314,9.021,-63.367,-31.311,0.134347,0.015153,0.069814
5.309115,315,-4.717,-57.512,-30.799,-0.14386,0.003523,-0.025128
5.325916,316,4.548,-61.619,-28.717,0.046015,0.012232,0.073208
5.342716,317,6.631,-64.266,-33.939,0.103105,0.005509,0.137577
5.359516,318,8.585,-57.36,-30.001,0.145881,0.018157,0.016829
5.376317,319,-5.595,-54.851,-29.413,-0.137635,0.004601,-0.00922
5.393117,320,-7.002,-52.265,-36.026,-0.167803,-0.000837,-0.038391
5.409917,321,0.703,-65.887,-30.947,0.018877,0.014402,0.244474
5.426718,322,4.355,-55.607,-23.48,0.095404,-0.002993,0.043023
5.443518,323,-11.136,-53.245,-37.033,-0.208905,0.011614,0.028131
5.460319,324,5.688,-63.984,-41.131,0.148481,-0.032308,0.239811
5.477119,325,3.152,-51.155,-21.548,0.117139,-0.003467,-0.00124
5.493919,326,-17.387,-52.069,-49.749,-0.300065,-0.004178,0.077582
5.51072,327,-10.625,-50.625,-25.635,-0.134478,-0.015719,0.039532
5.52752,328,7.798,-49.878,-22.349,0.251406,-0.010592,0.011226
5.54432,329,-10.23,-49.619,-19.102,-0.097433,-0.020379,0.044166
5.561121,330,-7.415,-46.372,-20.602,-0.041087,-0.024923,-0.004087
5.577921,331,3.164,-48.916,-19.456,0.183909,-0.013203,0.045431
5.594721,332,-5.216,-49.649,-12.641,0.01993,-0.015404,0.088663
